Worried,Healthy,Fewfood,Skipped,Ateless,Runout,Hungry,Whlday,WT,wtperson,Urban,Region,country,wave,hhid
0,1,1,0,0,0,0,0,5860.0864,NA,0,1001,1,0,2
,,,,,1,0,0,6094.793,NA,0,1001,1,4,2
1,1,1,1,1,1,0,0,6094.793,NA,0,1001,1,5,2
1,1,1,0,0,1,0,1,6094.793,NA,0,1001,1,6,2
0,1,0,0,0,1,0,0,6094.793,NA,0,1001,1,8,2
0,1,0,0,0,0,0,0,7373.855,NA,0,1001,1,0,4
,,,,,1,0,0,7536.9722,NA,0,1001,1,4,4
1,1,1,1,1,1,1,0,7536.9722,NA,0,1001,1,5,4
1,1,1,1,1,1,0,0,7536.9722,NA,0,1001,1,6,4
0,0,1,1,1,0,0,0,8227.9004,NA,0,1001,1,0,7
,,,,,1,0,0,8436.0225,NA,0,1001,1,4,7
1,1,1,0,1,1,0,0,8436.0225,NA,0,1001,1,5,7
1,1,1,1,1,1,0,0,8436.0225,NA,0,1001,1,6,7
0,1,1,0,0,0,0,0,4227.6768,NA,0,1001,1,0,10
,,,,,1,0,0,5005.3872,NA,0,1001,1,4,10
1,1,1,0,1,1,0,1,5005.3872,NA,0,1001,1,5,10
1,1,1,1,0,1,0,0,5005.3872,NA,0,1001,1,6,10
1,1,1,1,1,1,1,1,5005.3872,NA,0,1001,1,8,10
1,1,0,0,0,1,0,0,5005.3872,NA,0,1001,1,9,10
1,1,1,0,0,1,0,0,5005.3872,NA,0,1001,1,10,10
0,0,0,0,0,0,0,0,4918.9482,NA,0,1001,1,0,11
,,,,,1,0,0,5009.7188,NA,0,1001,1,4,11
1,0,1,0,1,1,0,0,5009.7188,NA,0,1001,1,5,11
1,1,1,1,1,1,0,0,5009.7188,NA,0,1001,1,6,11
1,0,0,0,0,0,0,0,12665.019,NA,0,1001,1,0,12
,,,,,1,0,0,12878.549,NA,0,1001,1,4,12
1,1,1,1,1,1,0,0,12878.549,NA,0,1001,1,5,12
1,0,1,0,0,0,0,0,13997.995,NA,0,1001,1,0,13
,,,,,1,1,1,13680.712,NA,0,1001,1,4,13
1,1,1,1,1,1,1,1,13680.712,NA,0,1001,1,5,13
1,1,1,1,1,1,1,1,13680.712,NA,0,1001,1,6,13
1,1,1,1,1,1,0,1,13680.712,NA,0,1001,1,8,13
1,1,1,1,1,1,1,1,13680.712,NA,0,1001,1,9,13
1,1,1,1,1,1,1,1,13680.712,NA,0,1001,1,10,13
,,,,,,,,13680.712,NA,0,1001,1,11,13
0,0,0,0,0,0,0,0,6064.4658,NA,0,1001,1,0,14
,,,,,1,0,0,5576.4204,NA,0,1001,1,4,14
1,0,1,0,0,1,1,0,5576.4204,NA,0,1001,1,5,14
1,1,1,1,0,1,0,0,5576.4204,NA,0,1001,1,6,14
0,0,0,0,0,0,0,0,6064.4658,NA,0,1001,1,0,16
,,,,,1,0,0,6922.7305,NA,0,1001,1,4,16
0,0,0,0,0,1,0,0,6922.7305,NA,0,1001,1,5,16
1,1,1,1,1,1,0,0,6922.7305,NA,0,1001,1,6,16
0,1,1,0,0,1,0,0,6922.7305,NA,0,1001,1,8,16
0,1,0,0,0,0,0,0,6922.7305,NA,0,1001,1,9,16
0,1,1,1,0,1,0,0,6922.7305,NA,0,1001,1,10,16
,,,,,,,,6922.7305,NA,0,1001,1,11,16
0,0,0,0,0,0,0,0,14735.887,NA,0,1001,1,0,17
,,,,,0,0,0,58573.219,NA,0,1001,1,4,17
0,0,0,0,0,0,0,0,58573.219,NA,0,1001,1,5,17
1,1,1,1,1,1,1,1,58573.219,NA,0,1001,1,6,17
1,1,0,0,1,1,0,0,58573.219,NA,0,1001,1,8,17
0,1,0,0,0,1,0,0,58573.219,NA,0,1001,1,9,17
1,1,1,0,0,1,0,0,58573.219,NA,0,1001,1,10,17
,,,,,,,,58573.219,NA,0,1001,1,11,17
,,,,,,,,58573.219,NA,0,1001,1,12,17
,,,,,,,,58573.219,NA,0,1001,1,13,17
,,,,,,,,58573.219,NA,0,1001,1,14,17
,,,,,,,,58573.219,NA,0,1001,1,16,17
1,0,0,0,0,0,0,0,5109.7461,NA,0,1001,1,0,18
,,,,,1,0,0,5600.7881,NA,0,1001,1,4,18
1,1,1,0,0,1,0,0,5600.7881,NA,0,1001,1,5,18
1,1,1,1,1,1,0,0,5600.7881,NA,0,1001,1,6,18
1,1,1,1,1,1,0,1,5600.7881,NA,0,1001,1,8,18
1,1,1,1,1,1,1,1,5600.7881,NA,0,1001,1,9,18
1,1,1,1,0,1,0,0,5600.7881,NA,0,1001,1,10,18
,,,,,,,,5600.7881,NA,0,1001,1,11,18
0,0,0,0,0,0,0,0,6064.4658,NA,0,1001,1,0,20
,,,,,0,0,0,6696.5137,NA,0,1001,1,4,20
0,0,0,0,0,0,0,0,6696.5137,NA,0,1001,1,5,20
0,0,1,0,0,1,0,0,6696.5137,NA,0,1001,1,6,20
0,1,1,0,0,1,0,0,6696.5137,NA,0,1001,1,8,20
0,0,0,0,0,1,0,0,6696.5137,NA,0,1001,1,9,20
0,0,0,0,0,0,0,0,6696.5137,NA,0,1001,1,10,20
,,,,,,,,6696.5137,NA,0,1001,1,11,20
0,0,0,0,0,0,0,0,8368.5283,NA,0,1001,1,0,22
,,,,,1,0,0,9131.9502,NA,0,1001,1,4,22
1,0,0,0,1,1,0,0,9131.9502,NA,0,1001,1,5,22
1,1,1,1,1,1,0,0,9131.9502,NA,0,1001,1,6,22
1,1,1,1,1,1,0,0,9131.9502,NA,0,1001,1,8,22
0,1,0,0,0,0,0,0,9131.9502,NA,0,1001,1,9,22
0,0,0,0,0,1,0,0,9131.9502,NA,0,1001,1,10,22
,,,,,,,,9131.9502,NA,0,1001,1,11,22
0,0,0,0,0,0,0,0,4885.6826,NA,0,1001,1,0,29
,,,,,0,0,0,5029.8101,NA,0,1001,1,4,29
1,1,1,1,1,1,1,1,5029.8101,NA,0,1001,1,5,29
1,1,1,1,1,1,0,0,5029.8101,NA,0,1001,1,6,29
1,1,1,0,0,1,0,0,5029.8101,NA,0,1001,1,8,29
0,0,0,0,0,1,0,0,5029.8101,NA,0,1001,1,9,29
1,1,1,0,0,1,0,0,5029.8101,NA,0,1001,1,10,29
,,,,,,,,5029.8101,NA,0,1001,1,11,29
0,0,0,0,0,0,0,0,4119.4492,NA,0,1001,1,0,31
,,,,,0,0,0,5107.6055,NA,0,1001,1,4,31
1,1,0,0,0,1,0,0,5107.6055,NA,0,1001,1,5,31
1,1,1,0,1,1,0,0,5107.6055,NA,0,1001,1,6,31
1,1,1,1,1,1,0,0,5107.6055,NA,0,1001,1,8,31
1,1,1,0,0,1,0,0,5107.6055,NA,0,1001,1,9,31
1,1,0,0,0,1,0,0,5107.6055,NA,0,1001,1,10,31
,,,,,,,,5107.6055,NA,0,1001,1,11,31
0,0,0,0,0,0,0,0,4164.7212,NA,,1001,1,0,34
,,,,,1,1,1,4640.5625,NA,,1001,1,4,34
1,1,1,1,1,1,0,0,4640.5625,NA,,1001,1,5,34
1,1,1,0,0,1,0,0,4640.5625,NA,,1001,1,6,34
1,1,1,0,0,1,0,0,4640.5625,NA,,1001,1,8,34
0,0,0,0,0,0,0,0,4640.5625,NA,,1001,1,9,34
0,0,0,0,0,0,0,0,4640.5625,NA,,1001,1,10,34
,,,,,,,,4640.5625,NA,,1001,1,11,34
0,0,0,0,0,0,0,0,5862.2622,NA,,1001,1,0,35
,,,,,1,1,1,7630.7837,NA,,1001,1,4,35
1,1,1,1,1,1,1,1,7630.7837,NA,,1001,1,5,35
1,1,1,1,1,1,1,1,7630.7837,NA,,1001,1,6,35
1,1,1,1,1,1,0,1,7630.7837,NA,,1001,1,8,35
0,1,0,0,0,1,0,0,7630.7837,NA,,1001,1,9,35
1,1,1,1,1,1,1,1,7630.7837,NA,,1001,1,10,35
,,,,,,,,7630.7837,NA,,1001,1,11,35
0,0,0,0,0,0,0,0,5862.2622,NA,,1001,1,0,36
,,,,,1,0,0,6093.8027,NA,,1001,1,4,36
0,0,0,0,0,0,0,0,6093.8027,NA,,1001,1,5,36
0,0,0,0,0,1,0,0,6093.8027,NA,,1001,1,6,36
0,0,0,0,0,0,0,0,6093.8027,NA,,1001,1,8,36
0,0,0,0,0,0,0,0,6093.8027,NA,,1001,1,9,36
0,0,0,0,0,0,0,0,6093.8027,NA,,1001,1,10,36
,,,,,,,,6093.8027,NA,,1001,1,11,36
0,0,0,0,0,0,0,0,6820.8057,NA,,1001,1,0,37
,,,,,1,0,0,7582.8457,NA,,1001,1,4,37
1,1,1,1,1,1,0,0,7582.8457,NA,,1001,1,5,37
1,1,1,1,1,1,0,0,7582.8457,NA,,1001,1,6,37
1,1,0,0,0,1,0,0,7582.8457,NA,,1001,1,8,37
1,1,1,1,1,1,1,1,7582.8457,NA,,1001,1,9,37
1,1,1,1,1,1,1,1,7582.8457,NA,,1001,1,10,37
,,,,,,,,7582.8457,NA,,1001,1,11,37
0,0,0,0,0,0,0,0,3544.0325,NA,,1001,1,0,39
,,,,,1,1,1,4092.7024,NA,,1001,1,4,39
1,1,0,0,0,1,0,0,4092.7024,NA,,1001,1,5,39
1,1,1,1,1,1,0,0,4092.7024,NA,,1001,1,6,39
1,1,1,1,1,1,1,1,4092.7024,NA,,1001,1,8,39
1,1,1,1,1,1,1,1,4092.7024,NA,,1001,1,9,39
1,1,0,0,0,1,0,0,4092.7024,NA,,1001,1,10,39
,,,,,,,,4092.7024,NA,,1001,1,11,39
0,0,0,0,0,0,0,0,2855.3635,NA,,1001,1,0,41
,,,,,1,0,0,3030.2366,NA,,1001,1,4,41
1,1,1,1,1,1,0,0,3030.2366,NA,,1001,1,5,41
0,0,0,0,0,0,0,0,3030.2366,NA,,1001,1,6,41
1,1,1,0,0,1,0,0,3030.2366,NA,,1001,1,8,41
1,1,1,0,0,1,0,0,3030.2366,NA,,1001,1,10,41
0,0,0,0,0,0,0,0,4164.7212,NA,,1001,1,0,42
,,,,,0,0,0,3983.6641,NA,,1001,1,4,42
0,1,0,0,0,0,0,0,3983.6641,NA,,1001,1,5,42
0,0,0,0,0,1,0,0,3983.6641,NA,,1001,1,6,42
0,0,0,0,0,1,0,0,3983.6641,NA,,1001,1,8,42
1,0,0,0,0,1,0,0,3983.6641,NA,,1001,1,9,42
1,0,0,0,0,1,0,0,3983.6641,NA,,1001,1,10,42
,,,,,,,,3983.6641,NA,,1001,1,11,42
0,0,0,0,0,0,0,0,2855.3635,NA,,1001,1,0,44
,,,,,1,0,0,3055.708,NA,,1001,1,4,44
1,1,1,1,1,1,1,1,3055.708,NA,,1001,1,5,44
0,0,0,0,0,1,0,0,3055.708,NA,,1001,1,6,44
1,1,1,1,1,1,0,1,3055.708,NA,,1001,1,8,44
1,1,1,1,1,1,1,1,3055.708,NA,,1001,1,9,44
1,1,1,1,1,1,0,0,3055.708,NA,,1001,1,10,44
,,,,,,,,3055.708,NA,,1001,1,11,44
0,0,0,0,0,0,0,0,4942.8696,NA,,1001,1,0,46
,,,,,1,0,0,5962.4609,NA,,1001,1,4,46
1,1,1,0,1,1,0,0,5962.4609,NA,,1001,1,5,46
0,0,0,0,0,0,0,0,5962.4609,NA,,1001,1,6,46
0,0,0,0,0,0,0,0,5962.4609,NA,,1001,1,8,46
0,0,0,0,0,0,0,0,5962.4609,NA,,1001,1,9,46
1,0,0,0,0,0,0,0,5962.4609,NA,,1001,1,10,46
,,,,,,,,5962.4609,NA,,1001,1,11,46
0,0,0,0,0,0,0,0,8125.8247,NA,,1001,1,0,47
,,,,,1,0,0,10276.265,NA,,1001,1,4,47
0,0,0,0,0,0,0,0,10276.265,NA,,1001,1,5,47
0,0,0,0,0,0,0,0,10276.265,NA,,1001,1,6,47
0,0,0,0,0,0,0,0,10276.265,NA,,1001,1,8,47
0,0,0,0,0,0,0,0,10276.265,NA,,1001,1,9,47
0,0,0,0,0,0,0,0,10276.265,NA,,1001,1,10,47
,,,,,,,,10276.265,NA,,1001,1,11,47
0,0,0,0,0,0,0,0,4592.4653,NA,0,1001,1,0,48
,,,,,1,0,0,4771.7412,NA,0,1001,1,4,48
1,0,0,0,0,1,0,0,4771.7412,NA,0,1001,1,5,48
0,0,0,0,0,1,0,0,4771.7412,NA,0,1001,1,6,48
1,1,1,0,0,1,0,0,4771.7412,NA,0,1001,1,8,48
0,1,0,0,0,0,0,0,4771.7412,NA,0,1001,1,9,48
0,1,1,0,0,0,0,0,4771.7412,NA,0,1001,1,10,48
,,,,,,,,4771.7412,NA,0,1001,1,11,48
1,0,0,0,0,0,0,0,878.38617,NA,0,1001,1,0,60
,,,,,1,0,0,985.92773,NA,0,1001,1,4,60
1,0,1,1,1,1,0,1,985.92773,NA,0,1001,1,5,60
1,1,1,0,0,1,0,0,985.92773,NA,0,1001,1,6,60
1,1,0,0,0,1,0,0,985.92773,NA,0,1001,1,8,60
1,1,1,0,0,1,0,0,985.92773,NA,0,1001,1,9,60
1,1,0,0,0,1,0,0,985.92773,NA,0,1001,1,10,60
,,,,,,,,985.92773,NA,0,1001,1,11,60
0,0,0,0,0,0,0,0,1281.1794,NA,0,1001,1,0,61
,,,,,1,0,0,1495.3345,NA,0,1001,1,4,61
0,0,0,0,0,1,0,0,1495.3345,NA,0,1001,1,5,61
0,0,0,0,0,1,0,0,1495.3345,NA,0,1001,1,6,61
1,0,0,0,0,1,0,0,1495.3345,NA,0,1001,1,8,61
1,1,0,0,0,1,0,0,1495.3345,NA,0,1001,1,9,61
0,0,0,0,0,0,0,0,1495.3345,NA,0,1001,1,10,61
,,,,,,,,1495.3345,NA,0,1001,1,11,61
0,0,0,0,0,0,0,0,1281.1794,NA,0,1001,1,0,62
,,,,,1,0,0,1404.2997,NA,0,1001,1,4,62
0,0,0,0,0,0,0,0,1404.2997,NA,0,1001,1,5,62
1,1,1,1,1,1,0,0,1404.2997,NA,0,1001,1,6,62
0,1,0,0,0,1,0,0,1404.2997,NA,0,1001,1,8,62
1,1,0,0,0,1,0,0,1404.2997,NA,0,1001,1,9,62
0,0,0,0,0,1,0,0,1404.2997,NA,0,1001,1,10,62
,,,,,,,,1404.2997,NA,0,1001,1,11,62
0,0,0,0,0,0,0,0,1520.5588,NA,0,1001,1,0,64
,,,,,1,0,0,1839.0558,NA,0,1001,1,4,64
1,0,1,0,1,1,0,0,1839.0558,NA,0,1001,1,5,64
1,1,1,1,1,1,0,0,1839.0558,NA,0,1001,1,6,64
1,1,1,0,0,1,0,0,1839.0558,NA,0,1001,1,8,64
1,1,1,0,0,1,0,0,1839.0558,NA,0,1001,1,9,64
1,1,1,1,0,1,0,0,1839.0558,NA,0,1001,1,10,64
,,,,,,,,1839.0558,NA,0,1001,1,11,64
0,0,0,0,0,0,0,0,1281.1794,NA,0,1001,1,0,65
,,,,,1,0,0,1575.0541,NA,0,1001,1,4,65
0,0,0,0,0,1,0,0,1575.0541,NA,0,1001,1,5,65
1,0,0,0,0,1,0,0,1575.0541,NA,0,1001,1,6,65
0,1,0,0,0,0,0,0,1575.0541,NA,0,1001,1,8,65
0,0,0,0,0,1,0,0,1575.0541,NA,0,1001,1,9,65
0,0,0,0,0,0,0,0,1575.0541,NA,0,1001,1,10,65
,,,,,,,,1575.0541,NA,0,1001,1,11,65
0,0,0,0,0,0,0,0,2499.7207,NA,0,1001,1,0,66
,,,,,0,0,0,2689.1233,NA,0,1001,1,4,66
1,1,0,1,0,1,1,0,2689.1233,NA,0,1001,1,5,66
1,1,1,1,1,1,1,1,2689.1233,NA,0,1001,1,6,66
1,1,1,0,0,1,0,0,2689.1233,NA,0,1001,1,8,66
1,1,1,1,1,1,0,1,2689.1233,NA,0,1001,1,9,66
0,1,1,1,1,1,1,1,2689.1233,NA,0,1001,1,10,66
,,,,,,,,2689.1233,NA,0,1001,1,11,66
0,0,0,0,0,0,0,0,1090.2391,NA,0,1001,1,0,68
,,,,,1,0,0,1138.0542,NA,0,1001,1,4,68
0,0,0,0,0,0,0,0,1138.0542,NA,0,1001,1,5,68
0,0,0,0,0,0,0,0,1138.0542,NA,0,1001,1,6,68
0,0,0,0,0,0,0,0,1138.0542,NA,0,1001,1,8,68
0,0,0,0,0,1,0,0,1138.0542,NA,0,1001,1,9,68
0,0,0,0,0,0,0,0,1138.0542,NA,0,1001,1,10,68
,,,,,,,,1138.0542,NA,0,1001,1,11,68
0,0,0,0,0,0,0,0,40956.418,NA,0,1001,1,0,71
,,,,,1,1,1,46546.566,NA,0,1001,1,4,71
1,1,1,1,1,1,1,1,46546.566,NA,0,1001,1,5,71
1,1,1,1,1,1,0,1,46546.566,NA,0,1001,1,6,71
1,1,0,0,0,1,0,0,46546.566,NA,0,1001,1,8,71
1,1,1,1,1,1,1,1,46546.566,NA,0,1001,1,9,71
1,1,1,1,1,1,1,1,46546.566,NA,0,1001,1,10,71
,,,,,,,,46546.566,NA,0,1001,1,11,71
0,0,0,0,0,0,0,0,6686.8003,NA,0,1001,1,0,73
,,,,,1,0,0,7383.7085,NA,0,1001,1,4,73
1,0,0,0,0,1,0,0,7383.7085,NA,0,1001,1,5,73
1,1,1,0,0,1,0,0,7383.7085,NA,0,1001,1,6,73
0,1,0,0,0,1,0,0,7383.7085,NA,0,1001,1,8,73
0,0,0,0,0,0,0,0,7383.7085,NA,0,1001,1,9,73
0,1,0,0,0,1,0,0,7383.7085,NA,0,1001,1,10,73
,,,,,,,,7383.7085,NA,0,1001,1,11,73
0,0,0,0,0,0,0,0,4794.4292,NA,0,1001,1,0,74
,,,,,1,0,0,5184.4136,NA,0,1001,1,4,74
0,0,0,0,0,1,0,0,5184.4136,NA,0,1001,1,5,74
0,0,0,0,0,0,0,0,5184.4136,NA,0,1001,1,6,74
0,0,0,0,0,0,0,0,5184.4136,NA,0,1001,1,8,74
1,1,1,1,1,1,0,0,5184.4136,NA,0,1001,1,9,74
0,0,0,0,0,1,0,0,5184.4136,NA,0,1001,1,10,74
,,,,,,,,5184.4136,NA,0,1001,1,11,74
0,0,0,0,0,0,0,0,4794.4292,NA,0,1001,1,0,75
,,,,,1,0,0,5184.4136,NA,0,1001,1,4,75
1,0,0,0,0,1,0,0,5184.4136,NA,0,1001,1,5,75
0,0,0,0,0,1,0,0,5184.4136,NA,0,1001,1,6,75
0,0,0,0,0,1,0,0,5184.4136,NA,0,1001,1,8,75
0,0,0,0,0,0,0,0,5184.4136,NA,0,1001,1,9,75
1,0,0,0,0,1,0,0,5184.4136,NA,0,1001,1,10,75
,,,,,,,,5184.4136,NA,0,1001,1,11,75
0,0,0,0,0,0,0,0,6686.8003,NA,0,1001,1,0,76
,,,,,0,0,0,7231.6313,NA,0,1001,1,4,76
1,0,0,0,0,1,0,0,7231.6313,NA,0,1001,1,5,76
1,1,1,0,0,1,0,0,7231.6313,NA,0,1001,1,6,76
1,1,1,1,1,1,0,1,7231.6313,NA,0,1001,1,8,76
1,1,1,1,1,1,1,1,7231.6313,NA,0,1001,1,9,76
1,1,1,1,1,1,0,1,7231.6313,NA,0,1001,1,10,76
,,,,,,,,7231.6313,NA,0,1001,1,11,76
0,0,0,0,0,0,0,0,7387.77,NA,0,1001,1,0,77
,,,,,1,0,0,8361.75,NA,0,1001,1,4,77
1,0,0,0,0,0,0,0,8361.75,NA,0,1001,1,5,77
1,1,1,1,1,1,0,1,8361.75,NA,0,1001,1,6,77
0,1,0,0,0,1,0,0,8361.75,NA,0,1001,1,8,77
1,1,1,1,0,1,0,0,8361.75,NA,0,1001,1,9,77
1,1,1,0,0,1,0,0,8361.75,NA,0,1001,1,10,77
,,,,,,,,8361.75,NA,0,1001,1,11,77
0,0,0,0,0,0,0,0,6686.8003,NA,0,1001,1,0,78
,,,,,1,0,0,7383.7085,NA,0,1001,1,4,78
1,0,0,0,0,1,0,0,7383.7085,NA,0,1001,1,5,78
1,1,1,0,0,1,0,0,7383.7085,NA,0,1001,1,6,78
1,1,1,0,0,1,0,0,7383.7085,NA,0,1001,1,8,78
1,1,1,1,1,1,0,0,7383.7085,NA,0,1001,1,9,78
1,1,1,1,1,1,1,1,7383.7085,NA,0,1001,1,10,78
,,,,,,,,7383.7085,NA,0,1001,1,11,78
0,0,0,0,0,0,0,0,6686.8003,NA,0,1001,1,0,79
,,,,,1,0,0,7383.7085,NA,0,1001,1,4,79
1,1,1,1,1,1,0,0,7383.7085,NA,0,1001,1,5,79
1,1,1,1,1,1,0,0,7383.7085,NA,0,1001,1,6,79
1,1,0,0,0,1,0,0,7383.7085,NA,0,1001,1,8,79
1,1,0,0,0,0,0,0,7383.7085,NA,0,1001,1,9,79
1,1,0,0,0,1,0,0,7383.7085,NA,0,1001,1,10,79
,,,,,,,,7383.7085,NA,0,1001,1,11,79
0,0,0,0,0,0,0,0,7930.5703,NA,0,1001,1,0,80
,,,,,1,0,0,8822.7822,NA,0,1001,1,4,80
1,1,1,1,1,1,0,1,8822.7822,NA,0,1001,1,5,80
1,1,1,0,1,1,1,1,8822.7822,NA,0,1001,1,6,80
1,1,1,0,0,0,0,0,8822.7822,NA,0,1001,1,8,80
1,1,0,0,0,1,0,0,8822.7822,NA,0,1001,1,9,80
1,1,0,0,0,1,0,0,8822.7822,NA,0,1001,1,10,80
,,,,,,,,8822.7822,NA,0,1001,1,11,80
0,0,0,0,0,0,0,0,8768.1221,NA,0,1001,1,0,81
,,,,,1,0,0,9681.9492,NA,0,1001,1,4,81
1,0,0,0,0,1,0,0,9681.9492,NA,0,1001,1,5,81
1,0,0,0,0,1,0,0,9681.9492,NA,0,1001,1,6,81
1,1,1,0,0,1,0,0,9681.9492,NA,0,1001,1,8,81
0,0,1,0,0,0,0,0,9681.9492,NA,0,1001,1,9,81
1,0,1,1,1,1,0,0,9681.9492,NA,0,1001,1,10,81
,,,,,,,,9681.9492,NA,0,1001,1,11,81
0,0,0,0,0,0,0,0,10992.757,NA,0,1001,1,0,82
,,,,,1,0,0,11487.894,NA,0,1001,1,4,82
0,0,0,0,0,1,0,0,11487.894,NA,0,1001,1,5,82
1,1,1,1,1,1,0,0,11487.894,NA,0,1001,1,6,82
1,1,0,0,0,1,0,0,11487.894,NA,0,1001,1,8,82
1,1,1,0,0,1,0,0,11487.894,NA,0,1001,1,9,82
1,1,1,0,0,1,0,0,11487.894,NA,0,1001,1,10,82
,,,,,,,,11487.894,NA,0,1001,1,11,82
0,0,0,0,0,0,0,0,1639.6996,NA,,1001,1,0,93
,,,,,0,0,0,1728.8153,NA,,1001,1,4,93
0,0,0,0,0,0,0,0,1728.8153,NA,,1001,1,5,93
1,0,0,0,0,1,0,0,1728.8153,NA,,1001,1,6,93
0,0,0,0,0,1,0,0,1728.8153,NA,,1001,1,8,93
0,0,0,0,0,1,0,0,1728.8153,NA,,1001,1,9,93
0,0,0,0,0,0,0,0,1728.8153,NA,,1001,1,10,93
,,,,,,,,1728.8153,NA,,1001,1,11,93
0,1,0,0,0,0,0,0,3060.8425,NA,,1001,1,0,95
,,,,,1,0,0,3269.0308,NA,,1001,1,4,95
0,0,0,0,0,0,0,0,3269.0308,NA,,1001,1,5,95
0,0,0,0,0,1,0,0,3269.0308,NA,,1001,1,6,95
0,1,0,0,0,1,0,0,3269.0308,NA,,1001,1,8,95
0,0,0,0,0,1,0,0,3269.0308,NA,,1001,1,9,95
1,0,0,0,0,1,0,0,3269.0308,NA,,1001,1,10,95
,,,,,,,,3269.0308,NA,,1001,1,11,95
0,0,0,0,0,0,0,0,1639.6996,NA,,1001,1,0,101
,,,,,1,0,0,2054.2488,NA,,1001,1,4,101
1,1,1,1,1,1,0,0,2054.2488,NA,,1001,1,5,101
1,1,1,1,1,0,0,0,2054.2488,NA,,1001,1,6,101
1,1,1,0,0,0,0,0,2054.2488,NA,,1001,1,8,101
1,1,1,1,1,0,0,0,2054.2488,NA,,1001,1,9,101
0,1,1,0,0,0,0,0,2054.2488,NA,,1001,1,10,101
,,,,,,,,2054.2488,NA,,1001,1,11,101
,,,,,,,,2054.2488,NA,,1001,1,14,101
0,0,0,0,0,0,0,0,2194.6208,NA,,1001,1,0,102
,,,,,1,0,0,2693.0591,NA,,1001,1,4,102
1,1,0,0,0,1,0,0,2693.0591,NA,,1001,1,5,102
0,0,0,0,0,0,0,0,2693.0591,NA,,1001,1,6,102
0,0,0,0,0,0,0,0,2693.0591,NA,,1001,1,8,102
0,0,0,0,0,1,0,0,2693.0591,NA,,1001,1,9,102
0,0,0,0,0,1,0,0,2693.0591,NA,,1001,1,10,102
,,,,,,,,2693.0591,NA,,1001,1,11,102
,,,,,,,,2693.0591,NA,,1001,1,14,102
0,0,0,0,0,0,0,0,1639.6996,NA,,1001,1,0,104
,,,,,1,0,0,1896.1777,NA,,1001,1,4,104
0,0,0,0,0,1,0,0,1896.1777,NA,,1001,1,5,104
0,0,0,0,0,1,0,0,1896.1777,NA,,1001,1,6,104
0,0,0,0,0,0,0,0,1896.1777,NA,,1001,1,8,104
0,0,0,0,0,1,0,0,1896.1777,NA,,1001,1,9,104
0,0,0,0,0,0,0,0,1896.1777,NA,,1001,1,10,104
,,,,,,,,1896.1777,NA,,1001,1,11,104
,,,,,,,,1896.1777,NA,,1001,1,14,104
0,0,0,0,0,0,0,0,3630.1707,NA,,1001,1,0,105
,,,,,1,0,0,3679.542,NA,,1001,1,4,105
1,1,0,0,0,1,0,0,3679.542,NA,,1001,1,5,105
0,0,0,0,0,0,0,0,3679.542,NA,,1001,1,6,105
0,0,0,0,0,0,0,0,3679.542,NA,,1001,1,8,105
0,0,0,0,0,0,0,0,3679.542,NA,,1001,1,9,105
0,0,0,0,0,1,0,0,3679.542,NA,,1001,1,10,105
,,,,,,,,3679.542,NA,,1001,1,11,105
0,0,0,0,0,0,0,0,1768.1667,NA,,1001,1,0,107
,,,,,1,0,0,1892.2289,NA,,1001,1,4,107
0,0,0,0,0,1,0,0,1892.2289,NA,,1001,1,5,107
1,1,0,0,0,1,0,0,1892.2289,NA,,1001,1,6,107
1,0,0,0,0,1,0,0,1892.2289,NA,,1001,1,8,107
1,1,0,0,0,1,0,0,1892.2289,NA,,1001,1,9,107
0,0,0,0,0,1,0,0,1892.2289,NA,,1001,1,10,107
,,,,,,,,1892.2289,NA,,1001,1,11,107
0,0,0,0,0,0,0,0,2731.2134,NA,,1001,1,0,109
,,,,,1,0,0,2979.7915,NA,,1001,1,4,109
1,1,1,1,1,1,0,0,2979.7915,NA,,1001,1,5,109
1,1,1,1,1,1,0,0,2979.7915,NA,,1001,1,6,109
1,1,0,0,0,1,0,0,2979.7915,NA,,1001,1,8,109
0,0,0,0,0,1,0,0,2979.7915,NA,,1001,1,9,109
1,0,0,0,0,1,0,0,2979.7915,NA,,1001,1,10,109
,,,,,,,,2979.7915,NA,,1001,1,11,109
0,0,0,0,0,0,0,0,1577.7488,NA,,1001,1,0,110
,,,,,0,0,0,1666.2527,NA,,1001,1,4,110
0,0,0,0,0,0,0,0,1666.2527,NA,,1001,1,5,110
0,0,0,0,0,0,0,0,1666.2527,NA,,1001,1,6,110
0,0,0,0,0,0,0,0,1666.2527,NA,,1001,1,8,110
0,0,0,0,0,0,0,0,1666.2527,NA,,1001,1,9,110
0,0,0,0,0,1,0,0,1666.2527,NA,,1001,1,10,110
,,,,,,,,1666.2527,NA,,1001,1,11,110
0,1,0,0,0,0,0,0,1958.2771,NA,,1001,1,0,111
,,,,,1,0,0,2152.2031,NA,,1001,1,4,111
1,1,1,0,0,1,0,0,2152.2031,NA,,1001,1,5,111
0,0,0,0,0,0,0,0,2152.2031,NA,,1001,1,6,111
0,0,0,0,0,0,0,0,2152.2031,NA,,1001,1,8,111
0,0,0,0,0,0,0,0,2152.2031,NA,,1001,1,9,111
0,0,0,0,0,0,0,0,2152.2031,NA,,1001,1,10,111
,,,,,,,,2152.2031,NA,,1001,1,11,111
0,1,0,0,0,0,0,0,2301.2424,NA,,1001,1,0,112
